,Ticker,Industry,Ratio
214,ALPP,Industrials,-5.640681165846321
215,ALRM,Technology,33.32232813659985
216,ALRN,Healthcare,0.06024954505894454
217,ALRS,Financial Services,Information not available
218,ALSA,Financial Services,Information not available
219,ALSAR,Industry information not found,Information not available
220,ALSAU,Financial Services,Information not available
221,ALSAW,Financial Services,Information not available
222,ALT,Healthcare,Information not available
223,ALTI,Financial Services,Information not available
224,ALTO,Basic Materials,-23.107618169848585
225,ALTR,Technology,169.12567292716446
226,ALTU,Financial Services,Information not available
227,ALTUU,Financial Services,Information not available
228,ALTUW,Financial Services,Information not available
229,ALTY,Industry information not found,Information not available
230,ALVO,Healthcare,-7.179535276898679
231,ALVOW,Healthcare,Information not available
232,ALVR,Healthcare,-0.36725606748279704
233,ALXO,Healthcare,-3.1716547938077273
234,ALYA,Technology,13.76877075503929
235,ALZN,Healthcare,-0.3235766345614697
236,AMAL,Financial Services,Information not available
237,AMAM,Healthcare,-10.083782204515272
238,AMAT,Technology,15.905941920183656
239,AMBA,Technology,-18.78361461090524
240,AMCX,Communication Services,4.642532032165827
241,AMD,Technology,72.33183918763119
242,AMDS,Industry information not found,Information not available
243,AMED,Healthcare,16.44013215339233
244,AMEH,Healthcare,14.229795544705523
245,AMGN,Healthcare,13.265456117662763
246,AMID,Industry information not found,Information not available
247,AMKR,Technology,6.821787337654851
248,AMLI,Basic Materials,-5.181087595232508
249,AMLX,Healthcare,-95.26114860864416
250,AMNB,Financial Services,Information not available
251,AMPG,Technology,-7.544605478172905
252,AMPGW,Technology,Information not available
253,AMPH,Healthcare,15.442500570212232
254,AMPL,Technology,-12.185411066045551
255,AMRK,Financial Services,8.032260815946724
256,AMRN,Healthcare,-1.9050856090825408
257,AMSC,Industrials,-20.022031165486155
258,AMSF,Financial Services,10.183156953346252
259,AMST,Technology,0.009774501014036143
260,AMSWA,Technology,24.088314447219666
261,AMTI,Healthcare,0.16107097254182742
262,AMTX,Energy,-20.111324921135648
263,AMWD,Consumer Cyclical,7.380218617831488
264,AMZD,Industry information not found,Information not available
265,AMZN,Consumer Cyclical,22.16892895844956
266,AMZU,Industry information not found,Information not available
267,ANAB,Healthcare,-0.6016494714082956
268,ANDE,Consumer Defensive,6.801676150212992
269,ANEB,Healthcare,Information not available
270,ANGH,Communication Services,-1.6671627291096318
271,ANGHW,Communication Services,Information not available
272,ANGI,Communication Services,32.155825174497586
273,ANGL,Industry information not found,Information not available
274,ANGO,Healthcare,26.61797044772803
275,ANIK,Healthcare,-22.14199400783591
276,ANIP,Healthcare,11.186519190855917
277,ANIX,Healthcare,Information not available
278,ANL,Healthcare,-10.27206269809255
279,ANNX,Healthcare,-0.04219041294891922
280,ANSCU,Financial Services,Information not available
281,ANSS,Technology,37.69436034549261
282,ANTE,Communication Services,2.122066249813905
283,ANTX,Healthcare,Information not available
284,ANY,Technology,-1.6732854438743319
285,AOGO,Financial Services,Information not available
286,AOGOU,Financial Services,Information not available
287,AOGOW,Financial Services,Information not available
288,AONC,Healthcare,32.34817789789084
289,AONCW,Healthcare,Information not available
290,AOSL,Technology,15.539603046493122
291,AOTG,Industry information not found,Information not available
292,AOUT,Consumer Cyclical,22.6339129753038
293,APA,Energy,3.28374218891703
294,APAC,Financial Services,Information not available
295,APACU,Financial Services,Information not available
296,APACW,Financial Services,Information not available
297,APCX,Technology,Information not available
298,APCXW,Technology,Information not available
299,APDN,Healthcare,-0.4597678187383413
300,APEI,Consumer Defensive,8.472872795234201
301,APGE,Healthcare,Information not available
302,API,Technology,-15.625688133940791
303,APLD,Financial Services,-26.47882768282432
304,APLM,Healthcare,-0.4055609880423932
305,APLMW,Industry information not found,Information not available
306,APLS,Healthcare,-11.925713701761463
307,APLT,Healthcare,-3.1288001664079874
308,APM,Healthcare,-0.2819821461729868
309,APOG,Industrials,7.182730780566325
310,APP,Technology,17.538258913892992
311,APPF,Technology,-171.00446171087037
312,APPN,Technology,-22.873043387588183
313,APPS,Technology,13.685036965033078
314,APRE,Healthcare,0.6501975468027814
315,APTM,Financial Services,Information not available
316,APTMU,Financial Services,Information not available
317,APTMW,Financial Services,Information not available
318,APTO,Healthcare,-0.033335952032295085
319,APVO,Healthcare,0.35351637015490767
320,APWC,Industrials,11.882477578752317
321,APXI,Financial Services,Information not available
322,APXIU,Financial Services,Information not available
323,APXIW,Industry information not found,Information not available
324,APYX,Healthcare,-3.6731669937002995
325,AQB,Consumer Defensive,-0.006971004478388685
326,AQMS,Industrials,-4.5044291390728475
327,AQST,Healthcare,-7.770303587137132
328,AQU,Financial Services,Information not available
329,AQUNR,Industry information not found,Information not available
330,AQUNU,Financial Services,Information not available
331,AQWA,Industry information not found,Information not available
332,ARAV,Healthcare,-0.07239206822151444
333,ARAY,Healthcare,30.586611828807452
334,ARBB,Technology,-0.980895086837028
335,ARBE,Technology,-1.9194312184630655
336,ARBEW,Technology,Information not available
337,ARBK,Financial Services,45.08216276672092
338,ARBKL,Industry information not found,Information not available
339,ARCB,Industrials,8.807906963257063
340,ARCC,Financial Services,Information not available
341,ARCT,Healthcare,6.739713200024918
342,ARDX,Healthcare,-71.83584745122718
343,AREB,Consumer Cyclical,-0.7799407809805929
344,AREBW,Industry information not found,Information not available
345,AREC,Basic Materials,-9.608874950510447
346,ARGX,Healthcare,-104.96671338336536
347,ARHS,Consumer Cyclical,7.488282994206258
348,ARIZ,Financial Services,Information not available
349,ARIZR,Industry information not found,Information not available
350,ARIZU,Financial Services,Information not available
351,ARIZW,Financial Services,Information not available
352,ARKO,Consumer Cyclical,12.625654230587813
353,ARKOW,Consumer Cyclical,Information not available
354,ARKR,Consumer Cyclical,12.993176938369782
355,ARLP,Energy,2.4933859716157953
356,ARM,Technology,190.42526570697012
357,AROW,Financial Services,Information not available
358,ARQQ,Technology,-0.5692255173428575
359,ARQQW,Technology,Information not available
360,ARQT,Healthcare,-0.8206014532363265
361,ARRW,Financial Services,Information not available
362,ARRWU,Financial Services,Information not available
363,ARRWW,Financial Services,Information not available
364,ARRY,Technology,13.288277830045912
365,ARTL,Healthcare,Information not available
366,ARTLW,Healthcare,Information not available
367,ARTNA,Utilities,15.630779106917304
368,ARTW,Industrials,8.200910351777356
369,ARVL,Consumer Cyclical,0.40770155182005
370,ARVN,Healthcare,-2.853886955954323
371,ARVR,Industry information not found,Information not available
372,ARWR,Healthcare,-15.030552671534428
373,ARYD,Financial Services,Information not available
374,ASCA,Financial Services,Information not available
375,ASCAR,Industry information not found,Information not available
376,ASCAU,Financial Services,Information not available
377,ASCAW,Financial Services,Information not available
378,ASCB,Financial Services,Information not available
379,ASCBR,Industry information not found,Information not available
380,ASCBU,Financial Services,Information not available
381,ASCBW,Financial Services,Information not available
382,ASET,Industry information not found,Information not available
383,ASLE,Industrials,78.33470050761422
384,ASLN,Healthcare,-0.3963296873998711
385,ASMB,Healthcare,-0.08006556331854528
386,ASML,Technology,30.77891545866456
387,ASND,Healthcare,-12.260490615324844
388,ASNS,Technology,-0.895610288386594
389,ASO,Consumer Cyclical,7.438701047360688
390,ASPI,Basic Materials,Information not available
391,ASPS,Real Estate,-29.056655222337124
392,ASRT,Healthcare,0.8216070793167204
393,ASRV,Financial Services,Information not available
394,ASST,Communication Services,Information not available
395,ASTC,Industrials,2.317930245036666
396,ASTE,Industrials,11.205280214190093
397,ASTI,Technology,-0.23580149404171385
398,ASTL,Basic Materials,3.3867836999147487
399,ASTLW,Basic Materials,Information not available
400,ASTR,Industrials,-0.16340253734740576
401,ASTS,Technology,-3.39458279496718
402,ASTSW,Technology,Information not available
403,ASUR,Technology,8.541901078689666
404,ASYS,Technology,19.34925294239108
405,ATAI,Healthcare,-0.1038403466721694
406,ATAK,Financial Services,Information not available
407,ATAKR,Industry information not found,Information not available
408,ATAKU,Financial Services,Information not available
409,ATAKW,Financial Services,Information not available
410,ATAT,Consumer Cyclical,8.350989644334494
411,ATCOL,Industry information not found,Information not available
412,ATEC,Healthcare,-25.34735979055014
413,ATER,Consumer Cyclical,-0.23616214736288768
414,ATEX,Communication Services,-11.597635509138382
415,ATGL,Technology,5.057290539169739
416,ATHA,Healthcare,0.723324483177949
417,ATHE,Healthcare,-446.858035955997
418,ATIF,Financial Services,-17.107539638523033
419,ATLC,Financial Services,Information not available
420,ATLCL,Industry information not found,Information not available
421,ATLCP,Financial Services,Information not available
422,ATLO,Financial Services,Information not available
423,ATLX,Basic Materials,-9.548270927765167
424,ATMC,Financial Services,Information not available
425,ATMCR,Industry information not found,Information not available
426,ATMCU,Financial Services,Information not available
427,ATMCW,Financial Services,Information not available
428,ATMV,Financial Services,Information not available
429,ATMVR,Industry information not found,Information not available
430,ATMVU,Financial Services,Information not available
431,ATNF,Healthcare,0.04587545436450983
432,ATNFW,Healthcare,Information not available
433,ATNI,Communication Services,7.311676445457135
434,ATOM,Technology,-8.699127184924675
435,ATOS,Healthcare,0.035258126947679186
436,ATPC,Consumer Defensive,-29.279693794041975
437,ATRA,Healthcare,-0.06496030243667725
438,ATRC,Healthcare,-184.84392463363574
439,ATRI,Healthcare,15.61698078049029
440,ATRO,Industrials,78.21125481074223
441,ATSG,Industrials,4.78740497127537
442,ATXG,Industrials,-33.45590830740085
443,ATXI,Healthcare,Information not available
444,ATXS,Healthcare,Information not available
445,AUBN,Financial Services,Information not available
446,AUDC,Technology,20.26501289720652
447,AUGX,Healthcare,-12.145632288900691
448,AUID,Technology,-5.42428833983596
449,AUMI,Industry information not found,Information not available
450,AUPH,Healthcare,-12.172180769230769
451,AUR,Technology,-4.2038488736196316
452,AURA,Healthcare,-2.6506480588550447
453,AUROW,Technology,Information not available
454,AUTL,Healthcare,-1.177707472257709
455,AUUD,Technology,-0.8335527246841227
456,AUUDW,Technology,Information not available
457,AUVI,Consumer Cyclical,-1.8837664924497937
458,AUVIP,Consumer Cyclical,-1.8983797472305295
459,AVAH,Healthcare,16.771291551972155
460,AVAV,Industrials,28.017149471993196
461,AVDL,Healthcare,-6.7272827833626065
462,AVDX,Technology,-59.41970301920786
463,AVGO,Technology,23.330153406777402
464,AVGR,Healthcare,-0.6769002248634758
465,AVHI,Financial Services,Information not available
466,AVHIU,Financial Services,Information not available
467,AVHIW,Financial Services,Information not available
468,AVIR,Healthcare,2.409747203806595
469,AVNW,Technology,9.85078583398503
470,AVO,Consumer Defensive,25.350505813333335
471,AVPT,Technology,-82.32016414264778
472,AVPTW,Technology,Information not available
473,AVRO,Healthcare,0.5137640859343332
474,AVT,Technology,6.0305780923237755
475,AVTE,Healthcare,-5.261726763151238
476,AVTX,Healthcare,-0.11136565955348968
477,AVXL,Healthcare,Information not available
478,AWH,Healthcare,-1.244428975664969
479,AWIN,Technology,-0.533401107214685
480,AWINW,Industry information not found,Information not available
481,AWRE,Technology,-1.7839935979513444
482,AXDX,Healthcare,-1.4864558494197775
483,AXGN,Healthcare,-18.36867343518975
484,AXNX,Healthcare,1326.987434405309
485,AXON,Industrials,108.5507606551877
486,AXSM,Healthcare,-18.407644692491683
487,AXTI,Technology,-17.17568127793097
488,AY,Utilities,10.997164073685216
489,AYRO,Consumer Cyclical,0.7925280125155824
490,AYTU,Healthcare,-3.1748684516880092
491,AZ,Industrials,-2.3815406335686364
492,AZN,Healthcare,6.764733452896711
493,AZPN,Technology,42.87797226906246
494,AZTA,Healthcare,187.4891230651341
495,BABX,Industry information not found,Information not available
496,BACK,Healthcare,-1.1271638497251475
497,BAER,Industrials,-27.19272323987409
498,BAERW,Industrials,Information not available
499,BAFN,Financial Services,Information not available
500,BAND,Technology,222.0551982570806
501,BANF,Financial Services,Information not available
502,BANFP,Industry information not found,Information not available
503,BANL,Energy,4.982809442678309
504,BANR,Financial Services,Information not available
505,BANX,Financial Services,Information not available
506,BAOS,Communication Services,0.010437473969696888
507,BASE,Technology,-11.497848491069595
508,BATRA,Communication Services,62.71328293296592
509,BATRK,Communication Services,58.769188841630225
510,BBCP,Industrials,7.449619371723371
511,BBGI,Communication Services,12.395129509719336
512,BBH,Industry information not found,Information not available
513,BBIO,Healthcare,-13.629305701247953
514,BBLG,Healthcare,Information not available
515,BBLGW,Healthcare,Information not available
516,BBSI,Industrials,11.561829684015173
517,BCAB,Healthcare,0.2863339141257001
518,BCAL,Financial Services,Information not available
519,BCAN,Technology,-6.640191327783668
520,BCBP,Financial Services,Information not available
521,BCDA,Healthcare,-0.9064252781557672
522,BCDAW,Healthcare,Information not available
523,BCEL,Healthcare,0.13571709915073477
524,BCLI,Healthcare,-0.5486520840186081
525,BCML,Financial Services,Information not available
526,BCOV,Technology,-7.17414181742566
527,BCOW,Financial Services,Information not available
528,BCPC,Basic Materials,23.085688385269123
529,BCRX,Healthcare,-16.4406472824956
530,BCSA,Financial Services,Information not available
531,BCSAU,Financial Services,Information not available
532,BCSAW,Financial Services,Information not available
533,BCTX,Healthcare,-1.8981875214129154
534,BCTXW,Healthcare,Information not available
535,BCYC,Healthcare,-0.37561693598277696
536,BDGS,Industry information not found,Information not available
537,BDRX,Healthcare,0.23370910861099092
538,BDSX,Healthcare,-3.874626749162841
539,BDTX,Healthcare,-0.1962541043918142
540,BEAM,Healthcare,-3.6917026890738174
541,BEAT,Healthcare,Information not available
542,BEATW,Industry information not found,Information not available
543,BECN,Industrials,9.451722717098201
544,BEEM,Technology,-3.3411363256202957
545,BEEMW,Technology,Information not available
546,BEEZ,Industry information not found,Information not available
547,BELFA,Technology,6.95487448393591
548,BELFB,Technology,7.210826389082171
549,BENF,Financial Services,-5.113285662001139
550,BENFW,Financial Services,Information not available
551,BETR,Financial Services,Information not available
552,BETRW,Financial Services,Information not available
553,BETS,Financial Services,0.07066520884616252
554,BFC,Financial Services,Information not available
555,BFI,Consumer Cyclical,-89.9049536423841
556,BFIIW,Consumer Cyclical,Information not available
557,BFIN,Financial Services,Information not available
558,BFIT,Industry information not found,Information not available
559,BFRG,Healthcare,-2.6057471947085973
560,BFRGW,Industry information not found,Information not available
561,BFRI,Healthcare,-0.028175430411048384
562,BFRIW,Healthcare,Information not available
563,BFST,Financial Services,Information not available
564,BGC,Financial Services,Information not available
565,BGFV,Consumer Cyclical,19.19550691657618
566,BGLC,Basic Materials,-2.658617462871348
567,BGNE,Healthcare,-203.01385312855913
568,BGRN,Industry information not found,Information not available
569,BGXX,Healthcare,-5.446357337236377
570,BHAC,Financial Services,Information not available
571,BHACU,Financial Services,Information not available
572,BHACW,Financial Services,Information not available
573,BHAT,Communication Services,-3.1731566789784726
574,BHF,Financial Services,Information not available
575,BHFAL,Industry information not found,Information not available
576,BHFAM,Financial Services,Information not available
577,BHFAN,Financial Services,Information not available
578,BHFAP,Financial Services,Information not available
579,BHRB,Financial Services,Information not available
580,BIAF,Healthcare,-1.4069669053884442
581,BIAFW,Healthcare,Information not available
582,BIB,Industry information not found,Information not available
583,BIDU,Communication Services,6.601971528359402
584,BIGB,Industry information not found,Information not available
585,BIGC,Technology,-12.599153051672987
586,BIIB,Healthcare,16.736324043552496
587,BILI,Communication Services,1.0864480784375499
588,BIMI,Healthcare,-3.0493041389328366
589,BIOL,Healthcare,-0.9103511823119548
590,BIOR,Healthcare,-1.5557589095089506
591,BIOX,Basic Materials,19.038227761595156
592,BIRD,Consumer Cyclical,-1.5453658160148338
593,BIS,Industry information not found,Information not available
594,BITF,Financial Services,194.75635405998537
595,BITS,Industry information not found,Information not available
596,BIVI,Healthcare,-0.970028332004622
597,BJDX,Healthcare,0.09672703287307131
598,BJK,Industry information not found,Information not available
599,BJRI,Consumer Cyclical,13.654502734260337
600,BKCC,Financial Services,Information not available
601,BKCH,Industry information not found,Information not available
602,BKIV,Industry information not found,Information not available
603,BKNG,Consumer Cyclical,17.55030778470873
604,BKR,Energy,9.753365427312776
605,BKWO,Industry information not found,Information not available
606,BKYI,Industrials,-0.8926410431351718
607,BL,Technology,192.67744522851055
608,BLAC,Financial Services,Information not available
609,BLACR,Industry information not found,Information not available
610,BLACU,Financial Services,Information not available
611,BLACW,Industry information not found,Information not available
612,BLBD,Consumer Cyclical,13.591126207330744
613,BLBX,Technology,-1.7848075646224661
614,BLCN,Industry information not found,Information not available
615,BLCR,Industry information not found,Information not available
616,BLDE,Industrials,2.031216485477852
617,BLDEW,Industrials,Information not available
618,BLDP,Industrials,-2.429265086574118
619,BLEU,Financial Services,Information not available
620,BLEUR,Industry information not found,Information not available
621,BLEUU,Financial Services,Information not available
622,BLEUW,Financial Services,Information not available
623,BLFS,Healthcare,-15.062307092980522
624,BLFY,Financial Services,Information not available
625,BLIN,Technology,-14.249757261410789
626,BLKB,Technology,34.57694557878726
627,BLLD,Industry information not found,Information not available
628,BLMN,Consumer Cyclical,7.877789049490069
629,BLNK,Industrials,-1.58163176249301
630,BLRX,Healthcare,-42.776860210634474
631,BLTE,Healthcare,Information not available
632,BLUE,Healthcare,-3.504455325026181
633,BLZE,Technology,-8.795832159954942
634,BMBL,Technology,22.338961307216312
635,BMEA,Healthcare,-2.9468806663913467
636,BMR,Technology,-9.882434160305344
637,BMRA,Healthcare,-1.6068089383618542
638,BMRC,Financial Services,Information not available
639,BMRN,Healthcare,83.42803073371802
640,BND,Industry information not found,Information not available
641,BNDW,Industry information not found,Information not available
642,BNDX,Industry information not found,Information not available
643,BNGO,Healthcare,-0.036171240123359524
644,BNIX,Financial Services,Information not available
645,BNIXR,Industry information not found,Information not available
646,BNIXW,Financial Services,Information not available
647,BNOX,Healthcare,-61.18910448855814
648,BNR,Healthcare,0.990356340519152
649,BNRG,Utilities,-0.805165476728423
650,BNTC,Healthcare,0.8320128319020828
651,BNTX,Healthcare,1.0852210449082214
652,BOCN,Financial Services,Information not available
653,BOCNU,Financial Services,Information not available
654,BOCNW,Financial Services,Information not available
655,BOF,Consumer Defensive,-2.078041763213953
656,BOKF,Financial Services,Information not available
657,BOLT,Healthcare,0.8003262585789661
658,BON,Consumer Defensive,1.634321054255089
659,BOOM,Energy,6.796228090694573
660,BOSC,Technology,5.360571922381962
661,BOTJ,Financial Services,Information not available
662,BOTZ,Industry information not found,Information not available
663,BOWN,Financial Services,Information not available
664,BOWNR,Industry information not found,Information not available
665,BOWNU,Financial Services,Information not available
666,BOXL,Technology,5.943691608505113
667,BPMC,Healthcare,-9.338941846438585
668,BPOP,Financial Services,Information not available
669,BPOPM,Industry information not found,Information not available
670,BPRN,Financial Services,Information not available
671,BPTH,Healthcare,-0.23002573771473037
672,BPTS,Healthcare,-15.75617288979407
673,BPYPM,Industry information not found,Information not available
674,BPYPN,Real Estate,26.38880091168091
675,BPYPO,Real Estate,26.492507897435896
676,BPYPP,Real Estate,26.511188847103515
677,BRAC,Financial Services,Information not available
678,BRACR,Industry information not found,Information not available
679,BRACU,Financial Services,Information not available
680,BRAG,Communication Services,25.905249403910346
681,BREA,Communication Services,-5.437925537961768
682,BREZ,Financial Services,Information not available
683,BREZR,Industry information not found,Information not available
684,BREZW,Financial Services,Information not available
685,BRFH,Consumer Defensive,-7.648825806451613
686,BRID,Consumer Defensive,8.343394401562355
687,BRKH,Financial Services,Information not available
688,BRKHU,Financial Services,Information not available
689,BRKHW,Financial Services,Information not available
